,Valor_Aluguel,Valor_Condominio,Metragem,N_Quartos,N_banheiros,N_Suites,N_Vagas
0,480,295.0,48,2,2,1,1
1,500,0.0,50,1,2,1,1
2,500,0.0,40,1,2,1,1
3,500,36.0,45,1,2,1,0
4,500,0.0,30,1,1,0,0
5,500,380.0,66,2,1,0,1
6,550,100.0,48,2,2,1,1
7,600,110.0,46,2,2,1,1
8,600,100.0,49,2,2,1,1
9,600,325.0,50,2,2,1,1
10,600,0.0,90,1,2,1,1
11,600,600.0,35,1,2,1,1
12,600,250.0,48,2,2,1,1
13,600,742.0,52,2,1,0,1
14,610,25.0,38,1,2,1,1
15,628,172.0,52,2,2,1,1
16,630,220.0,41,2,2,1,1
17,630,600.0,45,1,1,0,0
18,650,170.0,60,2,2,1,1
19,650,75.0,43,2,2,1,1
20,650,190.0,45,1,2,1,1
21,650,190.0,48,2,2,1,1
22,650,0.0,40,1,2,1,1
23,650,302.0,45,2,2,1,1
24,650,0.0,38,1,2,1,1
25,650,100.0,44,2,2,1,1
26,650,0.0,30,2,2,1,1
27,650,100.0,44,2,1,0,1
28,650,0.0,48,2,2,1,1
29,650,200.0,50,2,2,1,1
30,650,100.0,30,2,1,0,1
31,660,240.0,41,2,2,1,1
32,660,240.0,42,2,2,1,1
33,660,240.0,42,2,2,1,1
34,670,168.0,38,2,1,0,1
35,700,0.0,30,1,2,1,1
36,700,250.0,47,2,2,1,1
37,700,0.0,48,2,2,1,1
38,700,0.0,48,2,2,1,1
39,700,250.0,45,2,2,1,1
40,700,0.0,48,2,2,1,1
41,700,150.0,46,2,2,1,1
42,700,182.0,38,2,2,1,1
43,700,160.0,50,2,2,1,1
44,700,140.0,52,2,2,1,1
45,700,290.0,56,2,2,1,1
46,700,283.0,56,2,2,1,1
47,700,0.0,44,2,2,1,1
48,700,412.0,54,2,2,1,1
49,700,412.0,54,2,2,1,1
50,700,412.0,54,2,2,1,1
51,700,178.0,50,2,2,1,1
52,700,300.0,42,2,2,1,1
53,700,0.0,62,2,2,1,1
54,700,500.0,54,2,1,0,1
55,700,200.0,48,2,2,1,1
56,700,230.0,50,2,1,0,1
57,700,711.0,60,2,1,0,1
58,700,100.0,60,1,1,0,1
59,700,410.0,50,2,1,0,1
60,700,234.0,53,2,1,0,1
61,700,400.0,50,2,1,0,1
62,700,80.0,30,1,1,0,0
63,700,452.0,39,1,1,0,1
64,700,0.0,40,1,1,0,0
65,700,0.0,48,2,2,1,1
66,700,250.0,43,2,2,1,1
67,720,180.0,40,2,2,1,1
68,730,270.0,50,2,2,1,1
69,750,50.0,45,2,2,1,1
70,750,0.0,48,2,2,1,1
71,750,0.0,50,2,2,1,1
72,750,0.0,48,2,2,1,1
73,750,190.0,40,1,2,1,1
74,750,115.0,48,2,2,1,1
75,750,0.0,40,1,2,1,1
